wall_time,stage_index,x_m,y_m,z_m,roll_rad,pitch_rad,yaw_rad
1789205917.4659023,-1,0.6498242210428475,-0.012206724527136848,0.3758313514726667,-0.0009375868050724932,-0.08264928471754009,1.571865016812142
1789205917.5111494,0,0.6498212026017084,-0.012191251523293348,0.37583538796143684,-0.0009468358933783816,-0.08262699459345559,1.5718735665757528
1789205917.561365,0,0.6498192128023366,-0.012181534802935878,0.3758378979329677,-0.0009529171884914895,-0.08261242263769297,1.5718790959677302
1789205917.6111622,0,0.6498172233403632,-0.01217142335221661,0.37584052056634926,-0.0009590124701578578,-0.08259786398680437,1.5718847731638723
1789205917.6613479,0,0.64981520962801,-0.01216136242277108,0.37584312766052735,-0.0009651231851510152,-0.08258319235708719,1.5718902815213214
1789205917.7110403,0,0.6498132206269973,-0.012151754431919877,0.3758455588428318,-0.0009711964361923249,-0.08256902041528474,1.5718957772392974
1789205917.7612731,0,0.6498111943247846,-0.012142096863205935,0.37584804071432115,-0.000977299759281692,-0.08255472534258554,1.5719010072194184
1789205917.811121,0,0.6498091863919828,-0.012132243881437075,0.37585056086814383,-0.000983374799980393,-0.0825403010503029,1.5719065306817293
1789205917.8734992,0,0.6498071812984876,-0.012122628898376722,0.37585297506677273,-0.0009894469255130726,-0.08252624859110165,1.571911909020794
1789205917.9212995,0,0.6498047572982892,-0.01211113481546113,0.3758558833689266,-0.0009967155725358003,-0.08250948949785272,1.571918203822217
1789205917.9815938,0,0.6498027416337461,-0.012101702147722939,0.3758582660674615,-0.0010027666058501376,-0.08249561702254968,1.5719233479492607
1789205918.0312886,0,0.6498003110461438,-0.01209056705768185,0.3758610313824123,-0.0010100471775013617,-0.08247876856087553,1.5719296327532337
1789205918.0815792,0,0.6497982623150336,-0.012080716848305598,0.37586353625276553,-0.0010161377378544295,-0.0824647424116465,1.5719347906506287
1789205918.13114,0,0.6497962359608298,-0.012071312802799055,0.3758658692858194,-0.001022156748114232,-0.08245122162461671,1.5719399019862532
1789205918.1817036,0,0.6497942197291517,-0.012062349532720304,0.3758680676545505,-0.0010281675205152275,-0.08243757767779322,1.5719449477930056
1789205918.2319229,0,0.6501959590553393,-0.009259856247772359,0.3768818390041766,-0.0006001362596272625,-0.08142870247794776,1.571655122753536
1789205918.281532,0,0.6520131983431829,0.003595238562613466,0.3817891449522063,0.0024103392019751806,-0.0644568627380227,1.5695792297196292
1789205918.331833,0,0.6542798351730416,0.02411483792743315,0.38748893491603276,0.003087229403307337,-0.03628769988278008,1.5676777181904138
1789205918.381483,0,0.6557836285736245,0.05002584863030152,0.39052120790397243,0.0036404339754523294,-0.013913750749896902,1.5687330761666902
1789205918.4314933,0,0.6559309567253503,0.07909238738595474,0.3894636826281809,0.0037591387909272455,0.001147485405464248,1.5693290399451894
1789205918.506926,0,0.6550427463949987,0.10368121493186451,0.38648329386011315,0.0020259386211957976,0.012642675913134085,1.5688748084127646
1789205918.5520113,0,0.651393332698978,0.1543754364269527,0.38268695449463713,-0.0016784194964591403,0.034995091980169646,1.5687523227762379
1789205918.6011815,0,0.6491503455524565,0.1865306092223906,0.3854983541269698,-0.0042110098842129805,0.04720472777411503,1.5713723198152938
1789205918.6517813,0,0.6481992946690678,0.21878082582091324,0.3904259978121288,-0.003048361780061643,0.05692107228902342,1.5784178919890561
1789205918.7010665,0,0.6485411138965005,0.25073014563663265,0.39481063746027434,0.0005501026846920197,0.06476867898598578,1.5869689864578596
1789205918.7522273,0,0.6495720369572687,0.2824602569715909,0.39825763699671524,0.005499950649151892,0.07123839088361755,1.5950365502743342
1789205918.8023703,0,0.65039468214313,0.31382740875145104,0.4001562818270046,0.009906842920224802,0.07542801398317495,1.5998275022580402
1789205918.8517299,0,0.650225111234711,0.3444560248686307,0.39992128847559255,0.01064542518840792,0.07822699284204393,1.600344734567222
1789205918.9129288,0,0.649213748160918,0.37417951053431653,0.3984239008444673,0.01059145808189284,0.08057329394283565,1.5985260885490191
1789205918.9619226,0,0.64740980347349,0.4088987908470382,0.39744122478219446,0.0093764570534708,0.08371980345385133,1.5964605001244467
