wall_time,x_m,y_m,z_m,roll_rad,pitch_rad
1789203252.0624325,0.6489399701129694,-0.008912091775270227,0.3761981758290396,-0.0032165711678368942,-0.07791351716229025
1789203252.2703898,0.6489407227549261,-0.008911445310821574,0.3761974041145706,-0.0032148353996330043,-0.07791342331017473
1789203252.2708921,0.6489407576048613,-0.008911444178872758,0.3761973459823641,-0.0032147378964930712,-0.07791342368209614
1789203252.271033,0.6489408220460356,-0.008911022469211384,0.3761974109070894,-0.003214592049014086,-0.07791337821600706
1789203252.2711651,0.6489408725022004,-0.008911271703490754,0.3761972649293303,-0.003214480224069434,-0.0779132992857121
1789203252.271411,0.6489409401985848,-0.008911073038191414,0.3761972421277753,-0.003214316868048614,-0.07791331636268481
1789203252.2715414,0.6489409868881154,-0.00891089802504553,0.376197246908306,-0.0032142059936592802,-0.0779132673695787
1789203252.271662,0.6489410660684726,-0.008911180199122083,0.3761970510915628,-0.003214041527002264,-0.07791326308433442
1789203252.2717855,0.6489411062869033,-0.008911171492935467,0.3761969910107421,-0.003213924520700764,-0.07791331637500848
1789203252.2719138,0.6489411673663623,-0.008910690473744593,0.37619707449048295,-0.0032137873887467267,-0.07791334768310532
1789203252.2720406,0.6489412158300014,-0.008910818978968631,0.3761969706149441,-0.0032136816889168766,-0.07791325148714723
1789203252.2721627,0.6489412838657905,-0.008910875544736102,0.3761968541282197,-0.0032135233755613644,-0.07791326157740038
1789203252.27229,0.6489413266205679,-0.008910617322955424,0.37619688909280763,-0.0032134106767438284,-0.07791326156284109
1789203252.2724118,0.648941386011463,-0.008910889215170236,0.3761967067615514,-0.0032132854759881944,-0.07791319747707467
1789203252.2725363,0.648941443533078,-0.008910718575662113,0.3761967032477253,-0.0032131584984733948,-0.07791326158461005
1789203252.2726655,0.6489415015182566,-0.008910630566209506,0.37619664960845717,-0.0032129953016565614,-0.07791326339486873
1789203252.2727993,0.648941546026254,-0.008910430060124354,0.376196664621039,-0.0032129045966545066,-0.07791323169128793
1789203252.2729945,0.648941628280815,-0.008910436104031633,0.3761965692250707,-0.0032127163422381822,-0.07791320631925652
1789203252.2732468,0.6489416710413932,-0.008910367477998235,0.37619653858489854,-0.003212605231256161,-0.07791318968729967
1789203252.2733898,0.6489417300434198,-0.008910548385326096,0.3761963904742493,-0.003212470820230563,-0.07791318359352672
1789203252.2735121,0.6489417794656281,-0.00891016267849766,0.37619646690484143,-0.0032123601084905135,-0.07791323173997601
1789203252.273686,0.6489418582570521,-0.00891039908730465,0.3761962893238327,-0.0032121681628846516,-0.07791315025613292
1789203252.2738123,0.648941904714814,-0.008910490144764659,0.37619619536324395,-0.0032120672612654167,-0.07791319934818776
1789203252.273929,0.6489419653320198,-0.008910197574994498,0.3761962098978882,-0.0032119110100757076,-0.07791325916275177
1789203252.2740455,0.6489420090177401,-0.008909968479679843,0.37619623534670094,-0.003211823777519209,-0.07791321960115752
1789203252.2741675,0.6489420829839493,-0.008910161988220568,0.37619607787125925,-0.003211646314865173,-0.0779131483065282
1789203252.2742834,0.6489421274173603,-0.008909975586358204,0.3761960848782347,-0.00321154187039684,-0.07791315694989819
1789203252.2744062,0.6489421914924701,-0.008909904580583381,0.37619602330029933,-0.0032113922402354556,-0.07791312041017022
