wall_time,x_m,y_m,z_m,roll_rad,pitch_rad,yaw_rad,vx_mps,vy_mps,wz_rps
1789204132.283272,0.011885493719421924,12.535207323195449,0.38705035698233575,-0.016089748080529903,0.04775044431769018,1.508717868105361,4.12781537474899e-05,5.791175290224309e-06,0.00013972301992363722
1789204132.2865155,0.01188561707684108,12.53520720350594,0.3870503262711309,-0.016089463782566264,0.047750801035385905,1.508718525054571,3.778886471350032e-05,-1.97576995487631e-05,0.00014673135023386333
1789204132.2920866,0.011885803725944933,12.535206946347557,0.38705026833855105,-0.016088992641279828,0.04775131201757478,1.5087193049404457,3.637035833625656e-05,-5.693452679694418e-05,0.00012501807961827935
1789204132.2965496,0.011885932837343226,12.535206787695369,0.3870502352749339,-0.016088655928443853,0.04775165399199798,1.50871969715574,3.869897132590722e-05,-3.0204413870713834e-05,9.94538991901498e-05
1789204132.3022218,0.011886111772775342,12.535206506437424,0.3870501689373274,-0.01608817857708936,0.047752141834067376,1.5087204766510571,3.473182415254751e-05,-5.8984144941467414e-05,0.00019311668431612505
1789204132.3065882,0.011886233401767927,12.535206341218952,0.3870501305533657,-0.016087880745947317,0.047752481397330855,1.508721066667381,3.7367877404334676e-05,-3.198660063428398e-05,0.00014354284922302998
1789204132.3121874,0.011886424460423522,12.535206121790901,0.3870500836206707,-0.016087398558888313,0.0477529724093084,1.5087217929504748,3.9269906848457404e-05,-1.5373306715020288e-05,0.0001023121319824395
1789204132.3165805,0.011886551042182288,12.535205919267428,0.38705004159204953,-0.016087059281804806,0.04775330466366669,1.5087221961214818,3.812501149642564e-05,-4.177193213189917e-05,0.0001019696789695006
1789204132.3226907,0.011886730973029858,12.535205690721945,0.38704998307957966,-0.01608659621461117,0.04775382365196525,1.5087229871992611,3.8063463721997594e-05,-1.4640120011355543e-05,0.00016865715593199703
1789204132.3264189,0.011886851291927385,12.535205491045753,0.38704993913196617,-0.01608629109296891,0.04775414937542054,1.508723583504562,3.713412817686102e-05,-4.1133186863365494e-05,0.00014500584271574514
1789204132.33197,0.011887047051203392,12.53520531433044,0.38704990428093355,-0.016085798846246366,0.04775464261988016,1.508724280958679,3.888932357319195e-05,-2.668727711560669e-05,0.0001071080945415255
1789204132.336482,0.011887166861306562,12.535205079363864,0.38704984835599454,-0.0160854579742473,0.04775496863186027,1.5087246989589538,3.767902451645647e-05,-5.123536272397369e-05,0.00010525126373449626
1789204132.3420322,0.01188734605162355,12.535204805331999,0.38704978296879256,-0.016085009743249553,0.047755496610352895,1.5087255367992265,3.7946496140196545e-05,-2.255440562651408e-05,0.00016592429599282345
1789204132.3464353,0.011887480166024157,12.535204774306345,0.38704977875859575,-0.016084695472850404,0.047755813160889955,1.508726083731683,4.030209503604418e-05,3.0811981686317607e-06,0.0001222408491246452
1789204132.3520298,0.011887659111084572,12.535204419033587,0.38704969783205473,-0.01608419376377832,0.04775632592809606,1.5087267679210172,3.83767371189514e-05,-3.898614648771542e-05,0.00011251956549660488
1789204132.3564386,0.01188777369204275,12.535204150458869,0.3870496293302789,-0.016083903968486673,0.04775669948073409,1.508727346897167,3.515486923481692e-05,-5.8464647179988685e-05,0.00012935644306448965
1789204132.3620872,0.011887964462046912,12.53520402696968,0.38704960505493363,-0.01608344706220364,0.047757142629827824,1.508728223055441,3.7554637768323314e-05,-3.530898877050136e-05,0.00015255535386859748
1789204132.3667352,0.01188809640755885,12.535203939263969,0.3870495905985851,-0.01608311940691417,0.047757467168976137,1.5087286969885938,3.975849292277551e-05,-1.1806769100036643e-05,0.00011771434520228275
1789204132.3724313,0.011888286718175066,12.535203709788771,0.3870495406222704,-0.016082606994191888,0.04775797818120505,1.508729322047917,4.116055586828114e-05,4.143735523805359e-07,8.913884241251666e-05
1789204132.3758864,0.011888397636017782,12.535203374908843,0.3870494588274048,-0.01608230972020241,0.047758374047383124,1.508729873819665,3.441485113820183e-05,-7.575302170494934e-05,0.00013521804037585342
1789204132.3817272,0.011888587049506313,12.535203186984342,0.38704941837009044,-0.016081841285776183,0.04775882448978209,1.5087306676702403,4.080054116453336e-05,1.1606738528298358e-05,0.00014817261071423015
1789204132.386578,0.011888716934886157,12.535203073281245,0.38704939853400894,-0.01608151765299945,0.04775912384467702,1.5087312057710494,3.9506310400218553e-05,-1.8873383548087683e-05,0.00013204244834278257
1789204132.3920538,0.011888899739653147,12.53520280214642,0.38704933252453794,-0.0160810355117434,0.04775965972069232,1.5087319569390807,3.4964691464569575e-05,-6.039127202334917e-05,0.00015264483401180193
1789204132.396492,0.011889010395113272,12.535202451627299,0.38704924896546705,-0.01608073219825879,0.047760016652125044,1.508732506421319,3.437281183486218e-05,-8.022326976265585e-05,0.00013462980854245325
1789204132.4025378,0.011889220560084136,12.53520252737187,0.387049270909068,-0.01608025079904344,0.04776047217612207,1.5087332244587137,4.406040064599137e-05,5.618438366862946e-05,0.0001323561920346542
1789204132.4059486,0.011889361964202518,12.535202555933454,0.38704928604515315,-0.016079916684497056,0.04776082742831745,1.5087337160265377,4.2416158583853184e-05,1.8884458199549145e-05,0.00012182128618055366
1789204132.4117978,0.011889537360992155,12.5352021793911,0.3870491997286178,-0.01607943077254647,0.04776143248334941,1.5087345039617193,3.3996839540245054e-05,-7.765857525175344e-05,0.0001648696644589034
1789204132.4161775,0.011889643436579818,12.53520177245569,0.38704910452875807,-0.016079130844021485,0.04776179729521135,1.5087350888309763,3.334747799154084e-05,-9.491285196916507e-05,0.00014251831696660819
1789204132.4225621,0.01188984109764472,12.535201651757305,0.38704907927501264,-0.01607864449335394,0.04776225403376414,1.5087357334774443,3.914335887134077e-05,-1.839038236398728e-05,8.438119277716603e-05
1789204132.4259193,0.01188997846442353,12.535201641921892,0.38704908481292527,-0.016078317762737566,0.047762554822520814,1.5087362521875163,4.1383457265218115e-05,8.316582660025093e-06,0.0001277467589356835
1789204132.432592,0.011890139058746743,12.53520113068565,0.38704895992407523,-0.01607786411547788,0.04776310038583023,1.5087371481877552,3.377649108544612e-05,-8.20493950551938e-05,0.00015759985316235556
1789204132.436162,0.011890266987995538,12.53520100557675,0.3870489290695034,-0.016077555505153555,0.04776341982612974,1.5087376705352837,3.654164044016344e-05,-4.782451422528352e-05,0.00011669219362496911
